category,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,species_label,extra_feature1,extra_feature2,extra_feature3
Setosa,5.261695923656225,3.181787190586329,5.867798761790619,2.15022244527936,1,2.8923302148468792,8.805203950963914,5.432983842678368
Versicolor,4.56866527562961,3.5694660630077126,2.9702921291114763,1.1128298407420516,2,8.72968291118741,2.1122045051306486,6.167066737776622
Virginica,6.782164775393904,4.115357435308397,3.079302378441207,0.6376682933419943,1,2.7335684904828668,6.906016876222566,7.997089557815343
Setosa,5.835437422059476,3.044792145304382,3.0011284220032395,2.310557176545262,2,3.1891156951896846,8.573620132403448,4.602666944731027
Versicolor,4.764325126819313,3.5020499480888247,5.296233589667827,0.9440031133592128,1,5.493687437847257,8.470590172568336,2.2660102343652397
Virginica,5.244277747999877,3.9849345369264486,2.400720213330351,0.869847821444273,2,3.9419298954308033,5.77085068798624,5.165008294163272
Setosa,4.98911548955366,3.439367482252419,4.434920682595111,2.4220253916457297,1,9.472578704822809,4.585579462815076,6.508911590324715
Versicolor,6.908022378291935,2.741333016008139,2.696838381327689,0.5183285312727094,1,3.8792092287912965,1.129199807997793,9.101201588986441
Virginica,5.978715242445469,4.019833990558983,6.78007312626578,2.2351074371486903,1,3.4379509896971285,8.004898448940367,7.95609988248907
Setosa,7.515276755671948,2.4473875910043716,5.238911758828908,1.4711888896301388,1,9.768682193709537,1.8676019564736634,9.167068474227563
Versicolor,5.355234046187252,3.679460932314396,4.847957051708363,1.7061577742919327,2,4.517110199900344,6.187961764167994,4.466939955949783
Virginica,5.887778461165726,2.821360594406724,1.6087330910144373,2.0327330654487015,2,6.92280976776965,2.391185157233849,6.33275808324106
Setosa,7.11680142423138,3.8567305149510505,4.819044909765944,1.66497161667794,2,3.3717747514601797,4.055721764219925,8.059497248381376
Versicolor,6.525062417332084,2.4530516123399138,2.1415470826439558,1.5632748365402223,1,3.0911142150871456,3.6443642023950815,7.324115893803537
Virginica,7.007251513842494,2.1605743849650025,1.14855726826936,0.9192970748990774,2,1.143974400125444,2.97305114637129,6.779449715046212
Setosa,5.95205750381574,2.4828268157318236,2.530600097449496,2.312318883277476,2,6.86471375124529,9.03318022354506,7.4835671302862465
