category,title,content,news_category,author,publication_date,word_count,source_age,readability_index,article_id
World_News,,,,Mr. Virgil Gibson,2024-05-21T04:26:20.564Z,1467,5,42.851767180953175,3RrBH0geRV
Politics,,,,Nancy West,2024-05-14T21:37:01.898Z,4376,3,16.638800033601,dq4Da9za8B
Business,,,,Paul Heidenreich,2024-05-26T03:15:50.975Z,3983,2,41.72867125808261,PJ5Nb613Wj
Technology,,,,Veronica Bergnaum,2024-11-07T17:22:15.415Z,2556,5,44.920978986425325,nbpCtT2xqu
Health,,,,Otis Block,2024-11-29T19:42:06.865Z,3149,3,56.77830851636827,hhFVoEEp23
Environment,,,,Bennie Johns,2024-02-25T23:30:56.280Z,423,4,60.386555983452126,2Y4dRFcN4b
Science,,,,Cassandra Kris-Rutherford,2024-05-26T14:31:44.780Z,4477,3,67.94382508890703,UgKCB6LwmD
Sports,,,,Lowell Lind,2024-12-11T03:14:47.976Z,3332,5,40.812228955561295,C2LXhJf5wE
Education,,,,Lynne Kemmer,2024-07-30T08:32:25.065Z,3271,3,95.57363127893768,prHPRrA4Rh
Entertainment,,,,Dr. Louis Runte,2024-12-29T19:25:54.096Z,1662,3,45.223944873549044,iMRDw6XABw
Travel,,,,Cory Boehm,2024-03-10T23:52:39.804Z,516,3,3.5718272228259593,3kwMu73cBR
Crime,,,,Joshua Kuvalis,2024-04-15T10:21:44.085Z,1418,2,33.829696452245116,TU20OdsrCw
Weather,,,,Betty Kutch,2025-01-20T20:16:39.004Z,474,3,44.979472504230216,074sdahl1s
Arts_Culture,,,,Ashley Schmitt,2024-07-17T00:32:25.275Z,4985,1,30.04964752565138,zeWcl4y26t
Food_Drink,,,,Priscilla Waters,2025-01-28T08:51:28.256Z,2723,4,8.361618398921564,lav2gIpb9Z
Fashion,,,,Julian Sauer,2024-04-21T21:14:41.218Z,3314,4,37.57521423860453,ics2HwGnPT
