house_id,square_feet,year_built,bedrooms,bathrooms,house_price,city_name,country_name
2147,3119,1911,6,6,3622774.065565318,Metzstad,Gabon
2684,2635,2002,5,3,3384108.936402481,New Leonardville,Honduras
424,578,1956,4,10,4495213.868375868,Port Monserratefield,Iraq
6038,6667,1986,8,5,2510622.7924348786,Raulshire,Turkmenistan
2755,3740,1967,3,3,847196.1549948901,Bayamon,Madagascar
2393,9767,1911,9,10,1446145.5593584105,Hesselville,Tajikistan
3260,8462,1963,2,6,828605.1722359844,Brekkefurt,Canada
8242,6679,1927,6,2,4077715.5200834386,Bradtkefield,Greece
9086,5145,1979,5,7,1173660.8910141513,Missoula,United States of America
2236,6726,1928,3,5,2848622.75053747,Adriannaberg,Mayotte
5738,9512,1980,8,1,3975545.739440713,North Estel,Egypt
9940,5843,1982,7,4,1712581.3116086647,East Garrisonville,Myanmar
5254,4698,2004,4,2,4373145.782155916,Alpharetta,Taiwan
8391,5009,1915,2,6,1257605.650543701,Gibsontown,Jersey
7922,3801,1909,2,4,729130.3453966975,South Alycebury,Mozambique
9245,7863,1922,7,7,4363468.9344558865,New Monicaborough,Yemen
3254,8482,1935,10,10,1500965.0531574152,Soledadbury,Botswana
8577,1114,2021,8,7,1401852.7615466155,Biloxi,Georgia
8184,7688,1985,5,9,230680.6769222021,New Britain,Falkland Islands (Malvinas)
3096,6239,1972,4,1,1816986.6963871755,San Tan Valley,Greece
9263,829,1999,4,9,1307996.9489597715,Columbusmouth,Curacao
9808,2510,1904,3,3,2299126.6948520206,Skilestown,Cayman Islands
3582,5688,1914,1,7,3936132.75217358,Moline,Libyan Arab Jamahiriya
6625,6665,1920,10,7,2992577.7470809408,Plainfield,Liechtenstein
7863,1039,1962,8,3,4653611.967340112,Port Anne,El Salvador
192,9985,2005,10,8,787622.0099627972,Imanimouth,Bulgaria
5611,6198,1991,1,7,3320162.3971457593,Lake Taryn,Ghana
4576,8116,1943,5,2,1162473.0394105427,South Carolynton,Iraq
