sepal_length,sepal_width,petal_length,petal_width,plant_id,leaf_area,plant_age,flower_count
4.860919614,2.77110589,5.74393522,1.777695713,6762,19.06408208,5,6.142266656
7.866497956,2.908009779,5.572428647,2.210503194,7248,23.63670259,3,4.98749527
7.725006878,4.370048658,2.49389425,0.469443491,7968,21.10078691,7,9.801514775
6.703001138,4.30235311,5.939267421,2.398108538,7682,22.43913286,1,9.180283993
6.440571876,3.314663284,2.247736183,1.786357503,3109,5.945535081,10,9.709578333
5.910793261,2.685588173,1.590050163,2.284713302,3668,11.8792982,3,8.846855572
6.477072544,3.852971668,6.168371096,0.365056315,763,16.0531375,3,8.389523653
5.829702755,3.775975529,6.755541829,0.994949973,7874,22.30469837,4,9.805559362
6.840287276,4.164174956,6.127099718,2.074557821,695,13.85920933,8,5.110632793
5.215305076,2.277537717,4.782103926,1.798243509,5002,27.09447308,4,5.616291407
7.43055506,3.788500449,6.680085462,2.489596913,9695,14.48516873,5,5.713198992
4.480503741,3.383887875,4.286187307,0.660395671,1367,11.07178762,4,8.122386395
5.554529182,3.188221469,6.615374486,2.30985603,197,14.52799706,5,5.332536846
6.661807773,3.367381268,5.607817719,1.753445183,156,23.50134086,6,3.334474195
6.346362657,2.129715657,1.827321789,1.224830089,3838,17.24864722,10,1.811649413
5.689543578,2.619602265,2.785579425,1.880515119,7642,11.03919364,7,1.494433175
4.888653857,4.046187243,6.566783165,1.485212458,473,13.75280845,4,9.220973988
6.615161535,2.883379678,6.295253282,1.970137088,3405,5.453191809,10,9.208095068
6.508321026,2.093220696,6.089015199,1.615643656,1417,19.62458001,4,9.973008964
5.394237854,2.028523208,3.752379535,2.479562281,253,17.60733834,7,1.46119272
5.471295101,3.164064355,5.623989915,0.983913931,2550,20.2250267,4,4.853992735
5.063590025,2.932557273,6.084437056,0.332367437,1675,7.845306107,7,7.316224996
5.487668898,2.090746829,1.174976528,2.113996871,8290,18.54578441,4,7.097967102
4.426561538,2.307228062,5.242251346,2.377971217,6327,9.633157945,1,9.230197008
4.813156573,3.436899794,5.750284059,1.326345619,3601,27.936362,7,7.014375945
7.182078888,2.303752156,5.10239587,1.983178341,7482,21.61639247,1,1.363291161
4.783315944,2.98514451,2.588533295,0.617886191,6425,14.45016429,6,7.734559233
4.534264916,3.493515935,6.539536953,0.279647228,3725,12.97919359,3,7.85823807
7.344685442,4.328330735,2.128686356,1.812239368,1159,23.67044919,10,8.222993285
7.67048861,4.28043363,2.540344819,0.849770992,9917,22.30255752,4,1.408514647
4.797790976,3.186757816,2.351223543,1.786919707,9153,13.78183995,3,8.161684211
6.247389941,3.999174045,5.408870681,0.752508274,5656,25.2575216,2,3.792353488
7.442610706,3.572549974,5.830894723,0.602728214,8425,19.26360775,8,3.06930686
5.542491315,2.113640069,5.295527053,0.875062077,4671,17.13299439,10,6.967490592
