category,elevation,aspect,slope,horizontal_distance_to_hydrology,vertical_distance_to_hydrology,horizontal_distance_to_roadways,hillshade_9am,hillshade_noon
Spruce/Fir,1889,159,34,423,46,4080,251,143
Lodgepole_Pine,3813,158,1,745,-87,2769,204,7
Ponderosa_Pine,3024,239,47,566,129,2511,213,4
Cottonwood/Willow,3158,117,1,299,238,1394,177,202
Aspen,2369,144,9,22,190,3151,119,130
Douglas-fir,1710,43,55,677,6,4672,49,193
Krummholz,3529,29,6,385,219,782,89,127
Spruce/Fir,2425,128,51,408,170,6614,111,135
Lodgepole_Pine,2842,304,60,121,69,4207,251,114
Ponderosa_Pine,1713,273,20,707,286,6991,122,184
Cottonwood/Willow,1854,147,33,205,142,6601,157,85
Aspen,2918,165,46,847,252,32,39,7
Douglas-fir,1354,161,47,238,296,6011,83,248
Krummholz,3981,352,22,274,196,4321,131,197
Spruce/Fir,3091,229,45,637,43,4916,23,33
Lodgepole_Pine,2548,169,40,551,-79,1411,189,216
Ponderosa_Pine,1254,208,57,574,89,1938,252,215
Cottonwood/Willow,3954,285,10,975,210,4330,53,22
Aspen,3868,129,24,829,134,1978,2,109
Douglas-fir,2513,318,4,67,-18,200,61,76
Krummholz,3417,46,4,306,-16,3499,223,245
Spruce/Fir,3418,169,51,729,139,3601,4,85
Lodgepole_Pine,2487,199,52,565,67,6529,227,144
Ponderosa_Pine,1350,128,1,34,16,2315,7,216
Cottonwood/Willow,2917,348,39,547,250,689,141,54
Aspen,3968,85,30,295,229,6533,146,165
Douglas-fir,1047,86,48,563,10,6455,171,137
Krummholz,2036,266,53,976,115,1197,103,67
Spruce/Fir,3389,171,48,236,8,5426,153,59
Lodgepole_Pine,1968,309,10,429,134,452,89,46
Ponderosa_Pine,3897,23,6,590,222,5633,64,168
Cottonwood/Willow,2393,217,11,71,226,5370,173,126
Aspen,1014,267,54,217,14,1044,136,53
Douglas-fir,1655,289,58,353,199,6877,28,245
Krummholz,1769,350,8,634,191,2219,22,203
Spruce/Fir,1286,33,52,624,132,4573,109,198
Lodgepole_Pine,2298,160,14,76,48,4145,83,134
Ponderosa_Pine,1637,115,25,130,266,2544,47,68
Cottonwood/Willow,3536,202,45,37,184,5890,197,252
Aspen,1895,6,51,874,151,3898,175,19
Douglas-fir,2897,139,45,260,-34,2237,139,148
Krummholz,1799,61,29,81,76,3339,123,204
Spruce/Fir,2308,358,33,706,64,1147,162,35
Lodgepole_Pine,1301,64,30,215,113,5577,53,216
Ponderosa_Pine,1805,37,29,248,-87,3938,153,45
Cottonwood/Willow,1109,179,33,575,179,46,161,48
Aspen,3355,76,29,92,227,6308,18,25
Douglas-fir,3334,200,38,678,74,4501,173,195
Krummholz,2025,108,29,504,133,4250,203,50
Spruce/Fir,3332,218,31,934,96,3550,68,113
Lodgepole_Pine,2192,91,30,426,244,623,251,207
Ponderosa_Pine,3918,5,14,925,232,4588,131,149
Cottonwood/Willow,3110,229,43,42,-4,2614,235,235
Aspen,3417,213,30,259,-19,5097,80,29
Douglas-fir,1397,157,33,906,41,2903,144,223
Krummholz,3620,317,53,195,-66,5517,163,175
Spruce/Fir,2353,85,32,244,91,321,83,12
Lodgepole_Pine,2891,40,27,933,92,525,250,114
Ponderosa_Pine,2451,273,56,278,-38,3818,103,251
Cottonwood/Willow,3406,45,25,790,74,5162,246,80
Aspen,3307,334,60,998,118,2105,48,231
Douglas-fir,2502,86,38,101,261,6468,109,158
Krummholz,2843,57,51,333,245,4480,3,135
Spruce/Fir,3122,304,47,345,56,1082,106,132
Lodgepole_Pine,1337,339,42,373,3,3362,231,121
Ponderosa_Pine,2781,144,13,993,-21,3504,19,75
Cottonwood/Willow,1044,277,33,964,132,6752,227,92
Aspen,3289,216,35,746,296,5869,250,100
Douglas-fir,3159,278,16,710,-27,2243,72,12
Krummholz,3051,344,56,32,-93,2190,159,249
Spruce/Fir,1683,163,38,299,223,2538,225,6
Lodgepole_Pine,2880,213,39,765,255,6081,64,70
Ponderosa_Pine,2662,154,29,967,208,437,12,137
Cottonwood/Willow,1815,103,55,975,-41,201,12,184
Aspen,1767,45,36,206,249,6756,25,217
Douglas-fir,1548,112,59,38,4,2261,86,246
Krummholz,2305,258,25,503,156,1949,13,188
Spruce/Fir,3482,83,3,521,54,6829,213,17
Lodgepole_Pine,2271,351,42,226,213,4043,38,71
Ponderosa_Pine,1598,112,51,159,214,1618,218,184
Cottonwood/Willow,3276,175,56,332,55,6363,131,200
Aspen,3365,337,12,722,-12,4523,48,100
Douglas-fir,2882,273,44,900,289,6733,175,122
Krummholz,2141,229,17,16,64,2066,67,247
Spruce/Fir,3897,49,48,532,96,2137,106,46
Lodgepole_Pine,1659,21,26,976,152,5089,161,155
Ponderosa_Pine,3962,106,11,345,249,1619,6,250
Cottonwood/Willow,1184,255,26,901,160,5639,81,96
Aspen,3309,342,30,94,193,2543,171,190
Douglas-fir,2807,248,51,55,17,4263,113,50
Krummholz,1550,323,21,130,36,46,145,31
Spruce/Fir,2868,196,59,253,148,1363,199,225
Lodgepole_Pine,2794,93,32,928,-90,168,233,230
Ponderosa_Pine,2658,158,22,364,289,3816,15,144
Cottonwood/Willow,3096,46,15,836,82,5041,142,48
Aspen,2031,88,37,145,-59,502,195,246
Douglas-fir,2695,216,58,784,37,801,43,197
Krummholz,2247,126,30,822,-26,1600,126,252
Spruce/Fir,1571,304,13,381,230,438,159,224
Lodgepole_Pine,3039,2,57,506,248,4290,74,24
Ponderosa_Pine,3603,317,47,311,48,246,142,33
Cottonwood/Willow,3469,112,57,724,58,3728,130,46
Aspen,3209,180,27,73,39,6313,248,201
Douglas-fir,3194,37,26,893,108,5487,19,166
