category,elevation,aspect,slope,horizontal_distance_to_hydrology,vertical_distance_to_hydrology,horizontal_distance_to_roadways,hillshade_9am,hillshade_noon
Cover_Type1,2880,140,2,288.6008240026422,238.00253998488188,5442.308669949882,145,56
Cover_Type2,2743,262,26,322.0436752210371,93.5063149780035,798.3067281304393,225,93
Cover_Type3,1300,290,51,246.49152969266288,184.36703979969025,6637.289967763936,40,62
Cover_Type4,1055,94,1,76.03345380094834,28.457379061728716,2740.9476906249765,67,207
Cover_Type5,1034,341,23,386.1763087732252,150.17052786424756,4102.241864915006,104,144
Cover_Type6,2866,103,8,723.1842455726583,2.071680501103401,3837.9331785920076,165,28
Cover_Type7,2662,247,35,131.99787203338929,290.6987036578357,5997.621502493741,70,140
Cover_Type1,2714,27,1,765.4909991440363,275.2140793018043,486.83995903865434,108,57
Cover_Type2,1474,84,24,267.68906459165737,260.4898288846016,2891.2503019485157,255,40
Cover_Type3,1839,226,49,170.55424149497412,-87.7065610140562,4501.320078033488,182,104
Cover_Type4,2068,137,42,446.92414987576194,188.98791214451194,222.71481087012216,101,240
Cover_Type5,2676,56,50,773.4193084274884,142.96902576461434,1931.6242512287572,212,80
Cover_Type6,1969,162,29,826.2117533008568,245.7493418827653,414.5200499074999,34,70
Cover_Type7,2500,151,51,410.8221134606283,139.7691442631185,4188.521321472246,236,177
Cover_Type1,2066,225,32,810.675223749131,201.13547258079052,655.5951009779237,31,246
Cover_Type2,1184,228,24,341.5488982119132,240.09580705314875,5595.395931624109,15,54
Cover_Type3,2546,218,87,792.7881732764654,96.72066597267985,1958.5406612171791,138,83
Cover_Type4,1047,206,23,396.63442071992904,38.36195981130004,3950.9657300917897,18,152
Cover_Type5,1767,44,79,25.7912564733997,91.84583406895399,1133.775103801163,232,243
Cover_Type6,1647,84,83,49.73922120220959,290.60342265293,5300.595580375753,193,252
Cover_Type7,1917,227,82,117.07393138762563,-68.30902872607112,4185.36702985107,22,89
Cover_Type1,2255,122,23,379.89448195300065,15.500560402870178,1736.4016278679483,200,61
Cover_Type2,2218,350,77,161.91423105145805,193.28360026702285,4432.948193906574,146,156
Cover_Type3,2322,83,15,984.4176172784064,193.45054924488068,3678.627975896932,200,77
Cover_Type4,2997,64,16,560.8505077492446,105.19489385187626,4645.173955572303,122,69
Cover_Type5,2989,226,87,13.253659602953121,-26.418265886604786,3119.529302465031,218,88
Cover_Type6,1481,35,55,186.37619252083823,-12.365631014108658,6545.604022010462,190,48
Cover_Type7,2252,86,87,498.51637491513975,71.17946036159992,2154.6791094793007,224,39
Cover_Type1,1227,178,42,328.13063601288013,187.5526014715433,5669.915298548993,66,22
Cover_Type2,2805,216,69,760.1264932069462,89.67629624530673,565.8579132845625,210,192
Cover_Type3,2942,80,35,965.8939935762901,185.1260227151215,6909.23237077822,176,65
Cover_Type4,1998,224,79,785.9629491195083,62.939804047346115,4520.01052920334,175,250
Cover_Type5,2193,151,6,309.1342274833005,165.69292768836021,300.02982456283644,47,49
Cover_Type6,2363,206,52,186.33576725353487,186.5189009346068,844.720665686531,186,156
Cover_Type7,2289,119,42,825.5547833365854,-90.35227792337537,5877.702565347543,5,49
Cover_Type1,1661,113,20,742.999569828622,133.58175782486796,1636.9355784717482,56,49
Cover_Type2,1337,25,60,137.41030358686112,41.74919370561838,4461.670905554667,27,132
Cover_Type3,1891,63,29,815.5046502798796,243.43719501048326,2531.9346166397445,105,232
Cover_Type4,1985,83,86,549.6628936992493,275.0874351710081,2853.846896715462,103,200
Cover_Type5,1408,173,84,481.889665693976,71.16108508780599,4056.4006030990276,244,201
Cover_Type6,1653,247,18,830.8924095726106,169.2236359231174,3532.5827428444754,61,118
Cover_Type7,1351,296,71,144.02438963763416,12.519817613065243,4463.478489695117,217,146
Cover_Type1,2098,244,41,349.19623631518334,253.88727309182286,4275.039617667673,199,130
Cover_Type2,2828,89,38,832.8826899786945,89.84580803662539,2698.5309425522573,7,9
Cover_Type3,1295,290,20,757.4618166084401,42.53981877118349,3453.3838642931078,119,12
Cover_Type4,2728,42,86,896.2220168237109,241.6423313319683,2557.809367059497,195,88
Cover_Type5,2787,205,82,108.46677864156663,6.307213380932808,1483.8187219647225,153,186
Cover_Type6,2954,216,84,500.1500561251305,271.5148162096739,1777.2623405458871,204,167
Cover_Type7,2615,129,9,138.42141418834217,173.03360886871815,468.62210773909464,154,150
Cover_Type1,2663,17,34,874.2771484078839,274.95362954214215,1688.7393851205707,97,109
Cover_Type2,2979,351,64,556.6477850901429,289.990577287972,6422.749849759741,148,245
Cover_Type3,2063,339,52,523.4880707701668,34.768371004611254,4564.942828286439,200,155
Cover_Type4,1116,113,1,120.66317964089103,34.02074445039034,5006.387120894622,151,147
Cover_Type5,2569,306,85,554.4248077843804,117.73338532075286,4572.248409152497,161,237
Cover_Type6,2454,93,38,332.8082873534877,2.96392934396863,3427.4627262013964,199,79
Cover_Type7,2338,250,29,180.11639992403798,-88.60024753957987,3005.1227593985386,200,86
Cover_Type1,1940,100,29,823.7101356775966,109.78518575429916,607.6146595943719,72,166
Cover_Type2,1040,313,90,57.81989507866092,-55.689977668225765,2167.0214453849476,194,240
Cover_Type3,1361,122,81,718.6098892926238,99.12927625700831,4516.926870170282,28,149
Cover_Type4,1729,194,32,952.7880379022099,136.06733353808522,2454.4932468135376,158,99
Cover_Type5,2772,312,3,391.4706290180329,-88.6783397756517,2826.9673478645273,62,160
Cover_Type6,1022,6,45,664.768370365724,-43.13459564000368,2922.5677834609523,193,230
Cover_Type7,2515,311,61,979.1960820064414,72.57116576656699,487.23856775299646,42,43
Cover_Type1,1418,287,7,57.2451730966568,88.68184499442577,84.66990801668726,212,112
Cover_Type2,2234,55,23,382.63363986019976,92.90491621941328,6953.593900731765,161,59
Cover_Type3,1428,225,1,405.27945225243457,166.119369212538,3683.672440487426,122,138
Cover_Type4,2992,186,82,6.704959123395383,105.1955851726234,774.6157475216314,187,136
Cover_Type5,1376,348,84,55.996320316335186,-67.87524269893765,6473.081919273827,32,190
Cover_Type6,1616,60,51,303.8004584168084,121.7948148958385,3220.243997635087,15,163
Cover_Type7,1736,231,36,335.3071205483284,298.7323338165879,3519.9638604102656,186,97
Cover_Type1,2738,355,21,176.9823265178129,73.72147813439369,1329.926388278138,181,242
Cover_Type2,2733,220,85,613.4078464747872,233.85627940297127,5284.889955739956,122,131
Cover_Type3,1570,180,12,473.7431847790722,0.3885030746459961,4988.447316968348,144,149
Cover_Type4,1346,114,31,859.6411515269428,-78.97145440801978,446.44231480779126,130,183
Cover_Type5,1197,325,59,391.8021564958617,167.04708356410265,580.9524659768213,4,37
Cover_Type6,2586,86,86,219.73570952517912,-29.158297646790743,2695.7967538277153,67,87
Cover_Type7,2385,307,45,550.2668650888372,262.61081099510193,5352.053076474927,158,141
Cover_Type1,1022,360,19,861.565130159026,-86.00929426029325,3311.5603151547257,73,179
Cover_Type2,1125,338,57,875.7385786096565,-36.06468057259917,1219.8316368444357,19,107
Cover_Type3,1127,172,39,153.50358019419946,46.04102615267038,145.48762185219675,245,17
Cover_Type4,2888,296,4,68.3877269027289,77.61461306363344,2967.937633371679,147,166
Cover_Type5,2761,281,44,704.6906958373729,214.37599463388324,5776.390382426791,116,20
Cover_Type6,2227,358,32,453.6373884200584,274.72005262970924,2558.859205498593,116,201
Cover_Type7,2986,279,12,136.39972679736093,127.47305510565639,4292.932807410136,130,141
Cover_Type1,1993,12,87,439.6821553292684,-22.42442425340414,2561.5452205296606,189,247
Cover_Type2,2854,45,24,94.52782972366549,57.90543323382735,5353.971385801444,217,132
Cover_Type3,2085,178,87,984.4302492004354,294.51439464464784,1792.6236443512607,42,209
Cover_Type4,1287,338,25,486.3807870792225,14.218382444232702,5071.425927106058,40,27
Cover_Type5,1365,113,77,29.885311062447727,43.65858752280474,918.3657180441078,13,118
Cover_Type6,2541,27,34,165.67879781289957,286.22885439544916,2561.9594015264884,59,197
Cover_Type7,1074,254,87,569.5368219045922,242.6819515414536,3794.3764680656604,119,24
Cover_Type1,1266,222,59,350.0996669221204,-96.23909182846546,5155.435042325873,53,144
Cover_Type2,1967,230,8,917.6146270891186,-59.06172515824437,2020.2733949406538,139,4
Cover_Type3,1058,38,51,966.9341205223463,57.01307766139507,3682.2958171463106,156,225
Cover_Type4,1851,286,64,575.8405117562506,43.85661296546459,5966.6720848167315,213,85
Cover_Type5,1375,272,78,793.1438530134037,200.60182735323906,2638.3877891623415,112,86
Cover_Type6,1003,145,55,879.6162267520558,146.2240694090724,4522.360578269232,197,231
Cover_Type7,1267,163,78,41.80621832748875,-65.96276350319386,1247.2441110496875,227,122
Cover_Type1,2467,227,30,345.17542142770253,265.53391739726067,6305.732180717634,87,133
Cover_Type2,2038,173,25,311.14874458150007,225.52146557718515,1618.0760647214483,213,53
Cover_Type3,2754,181,86,476.44366957829334,222.49816013500094,10.487017116043717,158,160
Cover_Type4,1184,320,22,670.1925606690347,-1.1196667328476906,1919.5075211285148,177,39
Cover_Type5,1563,215,5,869.4048817793373,-3.1078252010047436,1533.1532120944466,88,255
